src,dst,relation
466519303,1572823628,follows
105334381,1572823628,follows
189376144,1572823628,follows
2574103121,1572823628,follows
552158902,1572823628,follows
24223641,1572823628,follows
16303106,57917441,follows
160010755,57917441,follows
16122373,57917441,follows
33276161,57917441,follows
18464266,57917441,follows
16955991,57917441,follows
18510860,57917441,follows
15694863,57917441,follows
121489431,57917441,follows
14455321,57917441,follows
4207961,57917441,follows
15220768,57917441,follows
21293089,57917441,follows
23839835,57917441,follows
15450660,57917441,follows
52615210,57917441,follows
148529707,57917441,follows
14067246,57917441,follows
18164272,57917441,follows
260959284,57917441,follows
13493302,57917441,follows
17212474,57917441,follows
16076272,57917441,follows
12193342,57917441,follows
340441440,57917441,follows
4035141,57917441,follows
131497030,57917441,follows
17174089,57917441,follows
50149303,57917441,follows
59010637,57917441,follows
51426896,57917441,follows
50684256,57917441,follows
164412502,57917441,follows
14515799,57917441,follows
622024793,57917441,follows
14957147,57917441,follows
19519071,57917441,follows
15470688,57917441,follows
4099171,57917441,follows
69193833,57917441,follows
27221778,57917441,follows
14246001,57917441,follows
18742394,57917441,follows
17376893,57917441,follows
16228479,57917441,follows
15161984,57917441,follows
14155907,57917441,follows
19119809,57917441,follows
31583882,57917441,follows
189376144,57917441,follows
15164565,57917441,follows
14177942,57917441,follows
15902877,57917441,follows
224079521,57917441,follows
16314021,57917441,follows
53789862,57917441,follows
313091751,57917441,follows
15731368,57917441,follows
18393773,57917441,follows
91180720,57917441,follows
24044209,57917441,follows
17094311,57917441,follows
141834186,57917441,follows
25889985,57917441,follows
27511061,57917441,follows
369278149,57917441,follows
15859912,57917441,follows
250734793,57917441,follows
24268066,57917441,follows
14764240,57917441,follows
15727317,57917441,follows
13524182,57917441,follows
59159771,57917441,follows
59145948,57917441,follows
335972576,57917441,follows
14139600,57917441,follows
25913058,57917441,follows
515931365,57917441,follows
23588075,57917441,follows
16378093,57917441,follows
7793902,57917441,follows
14885620,57917441,follows
14287094,57917441,follows
43532023,57917441,follows
15041273,57917441,follows
774909,57917441,follows
14606079,57917441,follows
89820928,57917441,follows
85867265,57917441,follows
10117892,57917441,follows
466519303,57917441,follows
15985111,57917441,follows
14717197,57917441,follows
53130511,57917441,follows
14858000,57917441,follows
16041234,57917441,follows
28339843,57917441,follows
24431892,57917441,follows
338608917,57917441,follows
316389142,57917441,follows
415854742,57917441,follows
153251103,57917441,follows
7900962,57917441,follows
14202246,57917441,follows
14770470,57917441,follows
15634728,57917441,follows
65698096,57917441,follows
16469809,57917441,follows
15667291,57917441,follows
14529929,57917441,follows
14855994,57917441,follows
24721726,57917441,follows
21619519,57917441,follows
18587457,57917441,follows
46213956,57917441,follows
928481,57917441,follows
25344328,57917441,follows
16151881,57917441,follows
14588748,57917441,follows
15818978,57917441,follows
188809568,57917441,follows
475286355,57917441,follows
63004503,57917441,follows
15950681,57917441,follows
208361818,57917441,follows
16077147,57917441,follows
61681958,57917441,follows
16356190,57917441,follows
17488736,57917441,follows
25003152,57917441,follows
7848802,57917441,follows
17824099,57917441,follows
14190948,57917441,follows
18634085,57917441,follows
20818801,57917441,follows
152570227,57917441,follows
9692022,57917441,follows
16935292,57917441,follows
22737278,57917441,follows
15949696,57917441,follows
2517988075,57917441,follows
15458181,57917441,follows
15458694,57917441,follows
47438401,57917441,follows
22184329,57917441,follows
22883726,57917441,follows
16594832,57917441,follows
429227921,57917441,follows
16129920,57917441,follows
18622869,57917441,follows
35831704,57917441,follows
15345563,57917441,follows
48802204,57917441,follows
14677919,57917441,follows
7868832,57917441,follows
21268897,57917441,follows
102581666,57917441,follows
15087011,57917441,follows
28145061,57917441,follows
17293897,57917441,follows
494583213,57917441,follows
18851248,57917441,follows
14478260,57917441,follows
27793335,57917441,follows
15691197,57917441,follows
33986037,57917441,follows
16326882,57917441,follows
21295042,57917441,follows
17757642,57917441,follows
14513611,57917441,follows
19396560,57917441,follows
5971922,57917441,follows
17006036,57917441,follows
17453527,57917441,follows
18094552,57917441,follows
20794926,57917441,follows
15757306,57917441,follows
7794142,57917441,follows
1947301,57917441,follows
15473574,57917441,follows
453319164,57917441,follows
50310311,57917441,follows
22063600,57917441,follows
15335662,57917441,follows
18276341,57917441,follows
18124790,57917441,follows
23365626,57917441,follows
18982396,57917441,follows
158414847,57917441,follows
11178672,229144579,follows
15458181,229144579,follows
56768257,2431889416,follows
28339843,2431889416,follows
16122373,2431889416,follows
22184329,2431889416,follows
478203018,2431889416,follows
15407632,2431889416,follows
27221778,2431889416,follows
226346115,2431889416,follows
14067246,2431889416,follows
724416918,2431889416,follows
14700316,2431889416,follows
15275677,2431889416,follows
22986148,2431889416,follows
2517988075,2431889416,follows
634734888,2431889416,follows
15978412,2431889416,follows
52652974,2431889416,follows
83876527,2431889416,follows
65698096,2431889416,follows
340418291,2431889416,follows
13493302,2431889416,follows
50149303,2431889416,follows
18587457,2431889416,follows
177052107,2431889416,follows
46213956,2431889416,follows
156370763,2431889416,follows
57411021,2431889416,follows
17006157,2431889416,follows
14190948,2431889416,follows
17928145,2431889416,follows
15455314,2431889416,follows
475286355,2431889416,follows
15982292,2431889416,follows
164412502,2431889416,follows
4207961,2431889416,follows
135897307,2431889416,follows
340441440,2431889416,follows
16326882,2431889416,follows
4099171,2431889416,follows
22642788,2431889416,follows
36743910,2431889416,follows
218597735,2431889416,follows
23588075,2431889416,follows
24932461,2431889416,follows
50684256,2431889416,follows
152570227,2431889416,follows
14155907,2431889416,follows
18363255,2431889416,follows
160720376,2431889416,follows
74323323,2431889416,follows
16076032,9635852,follows
16129920,9635852,follows
23023236,9635852,follows
22652566,9635852,follows
55355654,9635852,follows
28657802,9635852,follows
16160267,9635852,follows
18510860,9635852,follows
335972576,9635852,follows
15407632,9635852,follows
1947301,9635852,follows
50381166,9635852,follows
16589206,9635852,follows
24223641,9635852,follows
13393052,9635852,follows
15275677,9635852,follows
16191902,9635852,follows
15458181,9635852,follows
102581666,9635852,follows
22986148,9635852,follows
28145061,9635852,follows
31583882,9635852,follows
148529707,9635852,follows
494583213,9635852,follows
52652974,9635852,follows
18851248,9635852,follows
16019108,9635852,follows
14478260,9635852,follows
13493302,9635852,follows
478203018,9635852,follows
18587457,9635852,follows
124574786,9635852,follows
131497030,9635852,follows
25344328,9635852,follows
371828170,9635852,follows
37501003,9635852,follows
17006157,9635852,follows
14177942,9635852,follows
14881478,9635852,follows
14296273,9635852,follows
475286355,9635852,follows
85913172,9635852,follows
14752085,9635852,follows
15822295,9635852,follows
115463768,9635852,follows
15950681,9635852,follows
15667291,9635852,follows
20728540,9635852,follows
26862045,9635852,follows
305766622,9635852,follows
16314021,9635852,follows
15470688,9635852,follows
189376144,9635852,follows
22642788,9635852,follows
14266598,9635852,follows
36743910,9635852,follows
16935292,9635852,follows
14292458,9635852,follows
16955991,9635852,follows
12849262,9635852,follows
160720376,9635852,follows
20473084,9635852,follows
16076032,95453197,follows
12245632,95453197,follows
14245378,95453197,follows
25946632,95453197,follows
236026761,95453197,follows
16303106,95453197,follows
18622869,95453197,follows
15728161,95453197,follows
15087011,95453197,follows
15978412,95453197,follows
83876527,95453197,follows
16469809,95453197,follows
24773177,95453197,follows
15415098,95453197,follows
11621822,95453197,follows
16077147,95453197,follows
17004618,95453197,follows
5971922,95453197,follows
23839835,95453197,follows
329030876,95453197,follows
335972576,95453197,follows
1140451,95453197,follows
23725029,95453197,follows
30490986,95453197,follows
123282802,95453197,follows
38271276,95453197,follows
633,95453197,follows
158414847,95453197,follows
21982720,709732368,follows
16076032,709732368,follows
16303106,709732368,follows
16122373,709732368,follows
169182727,709732368,follows
25946632,709732368,follows
19884044,709732368,follows
414962189,709732368,follows
14073364,709732368,follows
16973333,709732368,follows
15950681,709732368,follows
375760645,709732368,follows
15220768,709732368,follows
41192995,709732368,follows
220727844,709732368,follows
154045477,709732368,follows
759786534,709732368,follows
15022633,709732368,follows
21718571,709732368,follows
357071409,709732368,follows
16893491,709732368,follows
16013368,709732368,follows
18468410,709732368,follows
92063809,709732368,follows
23025730,709732368,follows
